lost_pet_type,lost_breed,lost_color,lost_location,lost_date,found_pet_type,found_breed,found_color,found_location,found_date,match,lost_pet_type_encoded,lost_breed_encoded,lost_color_encoded,lost_location_encoded,found_pet_type_encoded,found_breed_encoded,found_color_encoded,found_location_encoded,date_diff
Dog,Bulldog,Golden,Riverside Park,2025-12-06,Dog,Bulldog,Golden,Riverside Park,2025-12-12,1,2,5,2,5,2,5,2,5,6
Cat,Maine Coon,Mixed,Queens Plaza,2025-12-20,Cat,Abyssinian,Golden,Bronx Zoo,2025-12-28,0,1,15,4,4,1,0,2,0,8
Dog,Golden Retriever,Golden,Staten Island,2025-12-16,Dog,Golden Retriever,Golden,Staten Island,2025-12-26,1,2,11,2,6,2,11,2,6,10
Dog,Rottweiler,Brown,Queens Plaza,2025-12-18,Dog,Rottweiler,Brown,Queens Plaza,2025-12-23,1,2,20,1,4,2,20,1,4,5
Dog,Golden Retriever,Gray,Manhattan,2025-12-07,Cat,Bengal,White,Queens Plaza,2025-12-11,0,2,11,3,3,1,2,8,4,4
Cat,British Shorthair,Spotted,Times Square,2025-12-09,Cat,British Shorthair,Spotted,Times Square,2025-12-13,1,1,3,6,7,1,3,6,7,4
Cat,Ragdoll,White,Brooklyn Bridge,2025-12-31,Bird,Finch,Striped,Staten Island,2026-01-07,0,1,19,8,1,0,9,7,6,7
Dog,Bulldog,Golden,Bronx Zoo,2025-12-14,Dog,Rottweiler,Mixed,Queens Plaza,2025-12-21,0,2,5,2,0,2,20,4,4,7
Cat,British Shorthair,Golden,Bronx Zoo,2025-12-11,Cat,British Shorthair,Golden,Bronx Zoo,2025-12-19,1,1,3,2,0,1,3,2,0,8
Bird,Lovebird,Black,Riverside Park,2025-12-15,Cat,Russian Blue,Striped,Riverside Park,2025-12-17,0,0,13,0,5,1,21,7,5,2
Bird,Parrot,Spotted,Riverside Park,2025-12-03,Bird,Parrot,Mixed,Riverside Park,2025-12-12,1,0,16,6,5,0,16,4,5,9
Dog,Golden Retriever,Brown,Times Square,2025-12-18,Dog,Poodle,Gray,Queens Plaza,2025-12-22,0,2,11,1,7,2,18,3,4,4
Dog,Beagle,Golden,Times Square,2025-12-19,Cat,Ragdoll,Spotted,Times Square,2025-12-24,0,2,1,2,7,1,19,6,7,5
Cat,Russian Blue,Striped,Brooklyn Bridge,2025-12-08,Bird,Cockatiel,Black,Brooklyn Bridge,2025-12-12,0,1,21,7,1,0,7,0,1,4
Cat,Russian Blue,Brown,Queens Plaza,2025-12-08,Cat,Russian Blue,Brown,Queens Plaza,2025-12-17,1,1,21,1,4,1,21,1,4,9
Dog,Rottweiler,Black,Manhattan,2025-12-10,Bird,Canary,Mixed,Central Park,2025-12-16,0,2,20,0,3,0,6,4,2,6
Cat,Russian Blue,Brown,Queens Plaza,2025-12-21,Cat,Russian Blue,Brown,Times Square,2025-12-30,1,1,21,1,4,1,21,1,7,9
Bird,Budgie,Black,Brooklyn Bridge,2025-12-08,Bird,Canary,Gray,Brooklyn Bridge,2025-12-18,1,0,4,0,1,0,6,3,1,10
Bird,Macaw,Orange,Staten Island,2025-12-20,Dog,Poodle,Mixed,Central Park,2025-12-24,0,0,14,5,6,2,18,4,2,4
Dog,Labrador,Golden,Brooklyn Bridge,2025-12-09,Dog,Labrador,Golden,Brooklyn Bridge,2025-12-18,1,2,12,2,1,2,12,2,1,9
Bird,Macaw,White,Riverside Park,2025-12-30,Bird,Macaw,White,Riverside Park,2025-12-31,1,0,14,8,5,0,14,8,5,1
Bird,Macaw,Spotted,Manhattan,2025-12-06,Cat,British Shorthair,White,Bronx Zoo,2025-12-11,0,0,14,6,3,1,3,8,0,5
Dog,Rottweiler,Gray,Bronx Zoo,2025-12-27,Bird,Lovebird,Black,Brooklyn Bridge,2025-12-29,0,2,20,3,0,0,13,0,1,2
Dog,German Shepherd,Orange,Manhattan,2025-12-18,Dog,Rottweiler,Brown,Manhattan,2025-12-25,0,2,10,5,3,2,20,1,3,7
Bird,Canary,Black,Queens Plaza,2025-12-15,Bird,Canary,Black,Times Square,2025-12-24,1,0,6,0,4,0,6,0,7,9
Bird,Conure,Brown,Riverside Park,2025-12-18,Bird,Budgie,Striped,Brooklyn Bridge,2025-12-24,0,0,8,1,5,0,4,7,1,6
Cat,British Shorthair,Striped,Central Park,2025-12-26,Cat,Ragdoll,Striped,Times Square,2025-12-28,1,1,3,7,2,1,19,7,7,2
Bird,Lovebird,Golden,Riverside Park,2025-12-09,Bird,Lovebird,Golden,Riverside Park,2025-12-15,1,0,13,2,5,0,13,2,5,6
Bird,Canary,Orange,Queens Plaza,2025-12-26,Bird,Lovebird,Orange,Queens Plaza,2025-12-29,0,0,6,5,4,0,13,5,4,3
Cat,Ragdoll,Striped,Bronx Zoo,2025-12-24,Cat,Ragdoll,Striped,Queens Plaza,2026-01-01,1,1,19,7,0,1,19,7,4,8
Dog,Bulldog,Mixed,Staten Island,2025-12-23,Dog,Golden Retriever,Mixed,Manhattan,2025-12-23,1,2,5,4,6,2,11,4,3,0
Dog,Labrador,Spotted,Times Square,2025-12-22,Cat,Bengal,Spotted,Queens Plaza,2025-12-24,0,2,12,6,7,1,2,6,4,2
Dog,Labrador,Brown,Riverside Park,2025-12-17,Dog,Yorkshire Terrier,Black,Brooklyn Bridge,2025-12-25,0,2,12,1,5,2,23,0,1,8
Dog,Labrador,Mixed,Staten Island,2025-12-18,Bird,Canary,Striped,Bronx Zoo,2025-12-25,0,2,12,4,6,0,6,7,0,7
Dog,Beagle,Gray,Staten Island,2025-12-11,Dog,Beagle,Gray,Staten Island,2025-12-15,1,2,1,3,6,2,1,3,6,4
Dog,Golden Retriever,Mixed,Manhattan,2025-12-23,Bird,Parrot,Orange,Staten Island,2025-12-29,0,2,11,4,3,0,16,5,6,6
Cat,Abyssinian,White,Bronx Zoo,2025-12-28,Dog,Yorkshire Terrier,Orange,Queens Plaza,2026-01-03,0,1,0,8,0,2,23,5,4,6
Bird,Canary,Brown,Central Park,2025-12-30,Cat,Persian,Mixed,Staten Island,2026-01-09,0,0,6,1,2,1,17,4,6,10
Dog,Poodle,Spotted,Bronx Zoo,2025-12-25,Dog,Labrador,Mixed,Times Square,2026-01-01,0,2,18,6,0,2,12,4,7,7
Bird,Parrot,Spotted,Bronx Zoo,2025-12-24,Bird,Finch,White,Bronx Zoo,2025-12-28,1,0,16,6,0,0,9,8,0,4
